Round,Group,Date,HomeTeam,AwayTeam,Score,HomeTeamMarketValueEUR,AwayTeamMarketValueEUR,PossessionHome%,PossessionAway%,TotalShotsHome,TotalShotsAway,ShotsOnTargetHome,ShotsOnTargetAway,PassesHome,PassesAway,PassAccuracyHome%,PassAccuracyAway%,FoulsHome,FoulsAway,CornersHome,CornersAway,YellowCardsHome,YellowCardsAway,RedCardsHome,RedCardsAway,OffsidesHome,OffsidesAway,xGHome,xGAway,HomeGoals,AwayGoals,TotalGoals,Winner,xGDiffHome,xGDiffAway
Group Stage - Matchday 1,"FIFA World Cup, Group A",2026-06-11,Mexico,South Africa,2-0,191850000,49250000,61.0,39.0,16,3,4,2,520,334,90,81,12,11,3,1,1.0,2.0,1.0,2.0,1.0,1.0,1.46,0.07,2,0,2,Mexico,0.54,-0.07
Group Stage - Matchday 1,"FIFA World Cup, Group A",2026-06-12,South Korea,Czechia,2-1,139050000,188175000,62.0,38.0,15,7,6,4,541,327,87,70,9,16,4,5,1.0,0.0,0.0,0.0,2.0,2.0,2.3,0.83,2,1,3,South Korea,-0.2999999999999998,0.17000000000000004
Group Stage - Matchday 1,"FIFA World Cup, Group B",2026-06-12,Canada,Bosnia & Herzegovina,1-1,198650000,146400000,61.0,39.0,13,8,4,3,421,271,74,63,10,20,9,4,2.0,3.0,0.0,0.0,1.0,0.0,1.23,0.96,1,1,2,Draw,-0.22999999999999998,0.040000000000000036
Group Stage - Matchday 1,"FIFA World Cup, Group D",2026-06-13,USA,Paraguay,4-1,385650000,153650000,65.0,35.0,16,9,6,1,598,319,85,73,13,17,3,1,1.0,5.0,0.0,0.0,2.0,1.0,1.42,0.54,4,1,5,USA,2.58,0.45999999999999996
Group Stage - Matchday 1,"FIFA World Cup, Group B",2026-06-13,Qatar,Switzerland,1-1,19925000,332500000,32.0,68.0,6,26,3,7,278,576,72,91,12,11,3,10,2.0,1.0,0.0,0.0,0.0,1.0,0.6,3.2,1,1,2,Draw,0.4,-2.2
Group Stage - Matchday 1,"FIFA World Cup, Group C",2026-06-13,Brazil,Morocco,1-1,928200000,447700000,51.0,49.0,12,14,5,3,514,486,87,86,16,14,6,2,2.0,0.0,0.0,0.0,0.0,1.0,1.26,1.37,1,1,2,Draw,-0.26,-0.3700000000000001
Group Stage - Matchday 1,"FIFA World Cup, Group C",2026-06-14,Haiti,Scotland,0-1,55850000,170250000,54.0,46.0,15,9,2,2,431,374,85,82,23,21,4,3,1.0,3.0,0.0,0.0,3.0,1.0,1.05,1.05,0,1,1,Scotland,-1.05,-0.050000000000000044
Group Stage - Matchday 1,"FIFA World Cup, Group D",2026-06-14,Australia,Türkiye,2-0,77450000,473700000,28.0,72.0,9,30,4,8,271,704,74,90,12,4,5,8,0.0,1.0,0.0,0.0,1.0,3.0,1.18,1.36,2,0,2,Australia,0.8200000000000001,-1.36
Group Stage - Matchday 1,"FIFA World Cup, Group E",2026-06-14,Germany,Curaçao,7-1,947000000,25775000,65.0,35.0,26,8,12,2,637,343,87,82,18,11,8,1,0.0,0.0,0.0,0.0,0.0,1.0,4.22,0.41,7,1,8,Germany,2.7800000000000002,0.5900000000000001
Group Stage - Matchday 1,"FIFA World Cup, Group F",2026-06-14,Netherlands,Japan,2-2,754200000,270850000,60.0,40.0,10,10,6,3,524,341,88,84,7,7,5,4,3.0,0.0,0.0,0.0,1.0,0.0,0.78,0.59,2,2,4,Draw,1.22,1.4100000000000001
Group Stage - Matchday 1,"FIFA World Cup, Group E",2026-06-14,Côte d'Ivoire,Ecuador,1-0,522100000,368700000,48.0,52.0,15,12,4,1,470,492,84,85,10,13,3,5,3.0,1.0,0.0,0.0,0.0,0.0,1.52,1.01,1,0,1,Côte d'Ivoire,-0.52,-1.01
Group Stage - Matchday 1,"FIFA World Cup, Group F",2026-06-15,Sweden,Tunisia,5-1,409075000,69950000,49.0,51.0,13,6,7,2,356,371,78,79,10,8,4,2,0.0,1.0,0.0,0.0,3.0,6.0,1.33,0.28,5,1,6,Sweden,3.67,0.72
Group Stage - Matchday 1,"FIFA World Cup, Group H",2026-06-15,Spain,Cabo Verde,0-0,1222800000,54500000,74.0,26.0,27,6,7,1,800,278,92,74,10,1,11,1,1.0,1.0,0.0,0.0,2.0,3.0,2.1,0.2,0,0,0,Draw,-2.1,-0.2
Group Stage - Matchday 1,"FIFA World Cup, Group G",2026-06-15,Belgium,Egypt,1-1,547500000,116475000,54.0,46.0,15,14,3,3,455,398,86,81,15,15,2,7,2.0,2.0,0.0,0.0,0.0,1.0,1.35,1.08,1,1,2,Draw,-0.3500000000000001,-0.08000000000000007
Group Stage - Matchday 1,"FIFA World Cup, Group H",2026-06-15,Saudi Arabia,Uruguay,1-1,40675000,359300000,33.0,67.0,7,27,3,10,322,612,73,88,11,6,4,14,1.0,0.0,0.0,0.0,0.0,6.0,0.66,1.72,1,1,2,Draw,0.33999999999999997,-0.72
Group Stage - Matchday 1,"FIFA World Cup, Group G",2026-06-16,Iran,New Zealand,2-2,32050000,34300000,49.0,51.0,17,14,4,8,409,446,77,84,10,8,4,1,1.0,0.0,0.0,0.0,2.0,0.0,1.5,1.24,2,2,4,Draw,0.5,0.76
Group Stage - Matchday 1,"FIFA World Cup, Group I",2026-06-16,France,Senegal,3-1,1523000000,478100000,53.0,47.0,11,6,8,2,575,502,88,86,5,9,6,4,0.0,0.0,0.0,0.0,1.0,3.0,1.79,0.53,3,1,4,France,1.21,0.47
Group Stage - Matchday 1,"FIFA World Cup, Group I",2026-06-16,Iraq,Norway,1-4,21200000,589900000,39.0,61.0,11,12,1,5,334,537,81,89,12,13,2,5,1.0,0.0,0.0,0.0,1.0,0.0,0.8,2.52,1,4,5,Norway,0.19999999999999996,1.48
Group Stage - Matchday 1,"FIFA World Cup, Group J",2026-06-17,Argentina,Algeria,3-0,807500000,256900000,48.0,52.0,10,7,6,0,561,609,90,92,13,8,2,2,0.0,0.0,0.0,0.0,3.0,1.0,1.47,0.3,3,0,3,Argentina,1.53,-0.3
Group Stage - Matchday 1,"FIFA World Cup, Group J",2026-06-17,Austria,Jordan,3-1,245200000,20300000,63.0,37.0,11,11,4,4,580,332,84,73,12,7,4,3,1.0,0.0,0.0,0.0,3.0,1.0,1.69,0.46,3,1,4,Austria,1.31,0.54
Group Stage - Matchday 1,"FIFA World Cup, Group K",2026-06-17,Portugal,DR Congo,1-1,1005500000,143650000,75.0,25.0,7,8,1,2,783,249,92,78,9,10,5,4,3.0,1.0,0.0,0.0,3.0,2.0,0.65,0.87,1,1,2,Draw,0.35,0.13
Group Stage - Matchday 1,"FIFA World Cup, Group L",2026-06-17,England,Croatia,4-2,1358200000,387300000,52.0,48.0,22,10,11,5,474,443,86,86,10,12,8,2,0.0,0.0,0.0,0.0,0.0,1.0,3.2,0.7,4,2,6,England,0.7999999999999998,1.3
Group Stage - Matchday 1,"FIFA World Cup, Group L",2026-06-17,Ghana,Panama,1-0,234350000,34550000,38.0,62.0,7,11,2,4,352,583,83,86,9,11,2,2,1.0,2.0,0.0,0.0,4.0,1.0,1.25,0.73,1,0,1,Ghana,-0.25,-0.73
Group Stage - Matchday 1,"FIFA World Cup, Group K",2026-06-18,Uzbekistan,Colombia,1-3,85125000,302350000,39.0,61.0,8,15,2,4,319,519,76,86,14,11,3,4,1.0,1.0,0.0,0.0,0.0,3.0,1.16,1.61,1,3,4,Colombia,-0.15999999999999992,1.39
Group Stage - Matchday 2,"FIFA World Cup, Group A",2026-06-18,Czechia,South Africa,1-1,188175000,49250000,38.0,62.0,14,17,3,4,341,563,80,90,12,10,5,5,1.0,2.0,0.0,0.0,2.0,3.0,1.02,1.38,1,1,2,Draw,-0.020000000000000018,-0.3799999999999999
Group Stage - Matchday 2,"FIFA World Cup, Group B",2026-06-18,Switzerland,Bosnia & Herzegovina,4-1,332500000,146400000,62.0,38.0,13,5,7,3,586,354,88,81,7,18,7,3,1.0,2.0,0.0,1.0,3.0,1.0,2.06,0.23,4,1,5,Switzerland,1.94,0.77
Group Stage - Matchday 2,"FIFA World Cup, Group B",2026-06-18,Canada,Qatar,6-0,198650000,19925000,79.0,21.0,32,2,10,0,567,162,91,64,9,10,19,1,1.0,1.0,0.0,2.0,1.0,1.0,4.6,0.22,6,0,6,Canada,1.4000000000000004,-0.22
Group Stage - Matchday 2,"FIFA World Cup, Group A",2026-06-19,Mexico,South Korea,1-0,191850000,139050000,42.0,58.0,8,9,4,2,427,578,82,84,9,7,0,2,0.0,2.0,0.0,0.0,3.0,6.0,0.53,0.91,1,0,1,Mexico,0.47,-0.91
Group Stage - Matchday 2,"FIFA World Cup, Group D",2026-06-19,USA,Australia,2-0,385650000,77450000,62.0,38.0,10,5,2,2,523,310,85,71,12,16,7,4,3.0,4.0,0.0,0.0,1.0,0.0,1.08,0.35,2,0,2,USA,0.9199999999999999,-0.35
Group Stage - Matchday 2,"FIFA World Cup, Group C",2026-06-19,Scotland,Morocco,0-1,170250000,447700000,41.0,59.0,6,12,0,2,456,670,85,90,11,8,2,5,1.0,1.0,0.0,0.0,1.0,0.0,0.51,0.99,0,1,1,Morocco,-0.51,0.010000000000000009
Group Stage - Matchday 2,"FIFA World Cup, Group C",2026-06-20,Brazil,Haiti,3-0,928200000,55850000,57.0,43.0,8,7,5,3,525,399,88,83,13,14,4,4,1.0,3.0,0.0,0.0,8.0,4.0,1.75,0.23,3,0,3,Brazil,1.25,-0.23
Group Stage - Matchday 2,"FIFA World Cup, Group D",2026-06-20,Türkiye,Paraguay,0-1,473700000,153650000,79.0,21.0,32,7,5,2,629,178,89,54,14,15,12,0,1.0,1.0,0.0,1.0,2.0,3.0,2.17,0.32,0,1,1,Paraguay,-2.17,0.6799999999999999
Group Stage - Matchday 2,"FIFA World Cup, Group F",2026-06-20,Netherlands,Sweden,5-1,754200000,409075000,51.0,49.0,10,16,7,8,449,425,89,85,9,12,2,5,0.0,3.0,0.0,0.0,3.0,3.0,2.61,1.01,5,1,6,Netherlands,2.39,-0.010000000000000009
Group Stage - Matchday 2,"FIFA World Cup, Group E",2026-06-20,Germany,Côte d'Ivoire,2-1,947000000,522100000,60.0,40.0,16,9,7,2,624,431,89,85,5,7,8,3,0.0,0.0,0.0,0.0,0.0,1.0,1.89,1.22,2,1,3,Germany,0.1100000000000001,-0.21999999999999997
Group Stage - Matchday 2,"FIFA World Cup, Group E",2026-06-21,Ecuador,Curaçao,0-0,368700000,25775000,75.0,25.0,27,10,15,3,644,227,90,70,7,10,9,0,1.0,5.0,0.0,0.0,1.0,2.0,2.84,0.5,0,0,0,Draw,-2.84,-0.5
Group Stage - Matchday 2,"FIFA World Cup, Group F",2026-06-21,Tunisia,Japan,0-4,69950000,270850000,38.0,62.0,2,11,0,5,354,583,80,89,8,15,3,5,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.13,0,4,4,Japan,-0.05,1.87
Group Stage - Matchday 2,"FIFA World Cup, Group H",2026-06-21,Spain,Saudi Arabia,4-0,1222800000,40675000,67.0,33.0,22,3,8,1,726,364,92,81,10,2,6,1,0.0,2.0,0.0,0.0,2.0,3.0,2.3,0.14,4,0,4,Spain,1.7000000000000002,-0.14
Group Stage - Matchday 2,"FIFA World Cup, Group G",2026-06-21,Belgium,Iran,0-0,547500000,32050000,70.0,30.0,23,7,7,3,621,270,86,73,7,9,4,2,1.0,1.0,1.0,0.0,3.0,4.0,1.79,0.62,0,0,0,Draw,-1.79,-0.62
Group Stage - Matchday 2,"FIFA World Cup, Group H",2026-06-21,Uruguay,Cabo Verde,2-2,359300000,54500000,65.0,35.0,17,12,2,4,511,278,82,74,11,4,11,4,2.0,2.0,0.0,0.0,3.0,0.0,2.32,0.88,2,2,4,Draw,-0.31999999999999984,1.12
Group Stage - Matchday 2,"FIFA World Cup, Group G",2026-06-22,New Zealand,Egypt,1-3,34300000,116475000,44.0,56.0,11,19,5,7,421,526,80,87,14,8,4,3,2.0,1.0,0.0,0.0,3.0,0.0,1.24,1.87,1,3,4,Egypt,-0.24,1.13
Group Stage - Matchday 2,"FIFA World Cup, Group J",2026-06-22,Argentina,Austria,2-0,807500000,245200000,54.0,46.0,12,6,5,1,554,468,89,86,13,13,1,3,2.0,2.0,0.0,0.0,2.0,0.0,2.36,0.53,2,0,2,Argentina,-0.3599999999999999,-0.53
Group Stage - Matchday 2,"FIFA World Cup, Group I",2026-06-22,France,Iraq,3-0,1523000000,21200000,56.0,44.0,19,4,5,0,603,481,90,86,8,4,4,2,0.0,1.0,0.0,0.0,1.0,0.0,2.67,0.63,3,0,3,France,0.33000000000000007,-0.63
Group Stage - Matchday 2,"FIFA World Cup, Group I",2026-06-23,Norway,Senegal,3-2,589900000,478100000,42.0,58.0,13,16,7,4,353,489,80,88,13,5,5,4,0.0,0.0,0.0,0.0,0.0,4.0,2.2,1.72,3,2,5,Norway,0.7999999999999998,0.28
Group Stage - Matchday 2,"FIFA World Cup, Group J",2026-06-23,Jordan,Algeria,1-2,20300000,256900000,28.0,72.0,8,17,4,8,251,641,72,88,11,6,1,10,1.0,1.0,0.0,0.0,1.0,0.0,0.63,1.89,1,2,3,Algeria,0.37,0.1100000000000001
Group Stage - Matchday 2,"FIFA World Cup, Group K",2026-06-23,Portugal,Uzbekistan,5-0,1005500000,85125000,66.0,34.0,17,7,9,2,624,327,90,80,14,15,3,2,1.0,1.0,0.0,0.0,2.0,2.0,2.61,0.24,5,0,5,Portugal,2.39,-0.24
Group Stage - Matchday 2,"FIFA World Cup, Group L",2026-06-23,England,Ghana,0-0,1358200000,234350000,79.0,21.0,19,2,3,1,633,172,93,74,14,24,9,2,1.0,1.0,0.0,0.0,2.0,2.0,1.36,0.17,0,0,0,Draw,-1.36,-0.17
Group Stage - Matchday 2,"FIFA World Cup, Group L",2026-06-23,Panama,Croatia,0-1,34550000,387300000,42.0,58.0,8,6,1,2,352,512,79,84,19,12,7,2,1.0,1.0,0.0,0.0,1.0,2.0,0.55,1.65,0,1,1,Croatia,-0.55,-0.6499999999999999
Group Stage - Matchday 2,"FIFA World Cup, Group K",2026-06-24,Colombia,DR Congo,1-0,302350000,143650000,64.0,36.0,20,7,9,1,541,299,87,76,12,16,5,4,2.0,1.0,0.0,0.0,7.0,0.0,0.98,0.37,1,0,1,Colombia,0.020000000000000018,-0.37
